# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	20587
#@/user_id	keai
A 	A	c=2 d=9.35125e-06 t=20587
A A A A 	AAAA	c=1 d=9.60431e-26 t=20587
A I O 	AIO	c=1 d=4.39206e-27 t=20587
A R P 	ARP	c=4 d=2.76071e-27 t=20587
B 	B	c=1 d=1 t=18272
C 	C	c=1 d=2e-08 t=20587
C L Q 	CLQ	c=1 d=7.43368e-12 t=20587
C R R 	CRR	c=1 d=2e-08 t=20587
D D L 	DDL	c=1 d=0.0223708 t=20587
D M L 	DML	c=1 d=0.218712 t=20587
E M B Y 	EMBY	c=1 d=1 t=17456
E O F 	EOF	c=2 d=1.60731e-16 t=20587
F 	F	c=4 d=2e-08 t=20587
G W P 	GWP	c=1 d=1 t=14498
I 	I	c=0 d=9.52153e-28 t=20587
I O duo lu 	IO多路	c=1 d=4.95203e-27 t=20587
I O mo xing 	IO模型	c=1 d=4.61724e-27 t=20587
I P L V 	IPLV	c=1 d=2.75505e-11 t=20587
M 	M	c=2 d=1.99501 t=19036
N I O 	NIO	c=1 d=4.0747e-27 t=20587
O 	O	c=0 d=9.52153e-28 t=20587
O O P 	OOP	c=1 d=1 t=14493
P 	P	c=3 d=1.24158e-05 t=20587
P F A 	PFA	c=1 d=2e-08 t=20587
P I D 	PID	c=1 d=1.1166e-13 t=20587
P P I D 	PPID	c=1 d=1.03418e-13 t=20587
R R R C 	RRRC	c=1 d=2e-08 t=20587
S 	S	c=3 d=2.92741 t=19058
S Y H N N 	SYHNN	c=1 d=4.28435e-29 t=20587
T 	T	c=1 d=1 t=18616
T S T 	TST	c=1 d=2e-08 t=20587
V 	V	c=1 d=2e-08 t=20587
X 	X	c=0 d=0 t=20587
Z 	Z	c=1 d=2e-08 t=20587
Z X cai gong kai 	ZX才公开	c=1 d=2e-08 t=20587
\frac{}{} 	fchu	c=0 d=0 t=13695
\frac{}{} 	fchu 	c=0 d=0 t=20587
__iter__() 	die dai	c=0 d=0 t=13695
__iter__() 	die dai 	c=0 d=0 t=20587
a 	啊	c=178 d=1.97397 t=19869
a 	阿	c=31 d=3.2e-07 t=20587
a a 	啊啊	c=11 d=2.11297e-07 t=20587
a a a 	啊啊啊	c=9 d=1e-07 t=20587
a a a a 	啊啊啊啊	c=3 d=4e-08 t=20587
a a a a a 	啊啊啊啊啊	c=1 d=1 t=14148
a a a a a a 	啊啊啊啊啊啊	c=0 d=0 t=20587
a a a a a a a 	啊啊啊啊啊啊啊	c=0 d=0 t=13695
a a a a a a a 	啊啊啊啊啊啊阿	c=1 d=2e-08 t=20587
a a a a a a a a 	啊啊啊啊啊啊啊啊	c=1 d=2e-08 t=20587
a a a a a a a a a 	啊啊啊啊啊啊啊啊啊	c=2 d=3e-08 t=20587
a a a a a a a a a a a a a a 	啊啊啊啊啊啊啊啊啊啊啊啊啊啊	c=2 d=3e-08 t=20587
a a a a a a a a a a a a a a a a 	啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊	c=1 d=2e-08 t=20587
a a a a a a a a a a a a a a a a a a a a a a a 	啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊	c=1 d=2e-08 t=20587
a dao fu 	阿道夫	c=1 d=2e-08 t=20587
a fei sa 	啊飞洒	c=1 d=2e-08 t=20587
a feng dao shuang jian 	啊风刀霜剑	c=1 d=2e-08 t=20587
a jie 	阿杰	c=3 d=3e-08 t=20587
a ka 	阿卡	c=0 d=0 t=20587
a la 	啊啦	c=1 d=2e-08 t=20587
a li 	阿狸	c=1 d=2e-08 t=13695
a li 	阿里	c=11 d=1.1e-07 t=20587
a li ba ba 	阿里巴巴	c=1 d=2e-08 t=20587
a li ga duo 	阿里嘎多	c=2 d=3e-08 t=20587
a li ge dou 	阿里格斗	c=1 d=2e-08 t=20587
a li ge duo 	阿里戈多	c=1 d=2e-08 t=20587
a li yun pan 	阿里云盘	c=2 d=3e-08 t=20587
a long 	阿龙	c=2 d=3e-08 t=20587
a sa mu 	阿萨姆	c=2 d=1.03354 t=20419
a si dun 	阿斯顿	c=2 d=3e-08 t=20587
a si dun feng 	阿斯顿风	c=5 d=6e-08 t=20587
a si dun ji ka fen li 	阿斯顿机卡分离	c=1 d=2e-08 t=20587
a yuan 	阿远	c=1 d=5.69038e-15 t=20587
a zhu 	阿朱	c=3 d=4e-08 t=20587
a zi dian 	啊字典	c=1 d=2e-08 t=20587
ai 	哀	c=1 d=2e-08 t=13695
ai 	唉	c=5 d=5e-08 t=13695
ai 	爱	c=7 d=8e-08 t=20587
ai chi 	爱吃	c=2 d=3e-08 t=20587
ai de fang shi 	爱的方式	c=0 d=0 t=20587
ai di sheng 	爱迪生	c=1 d=1 t=20309
ai dong gua 	矮冬瓜	c=0 d=0 t=20587
ai dong gua ru dang hou me 	矮冬瓜入党后么	c=1 d=2e-08 t=20587
ai fa 	挨罚	c=8 d=1.10841e-05 t=20587
